index_batch,radar_mask_len,radar_OI,box_present,cls_labels_len
320,1770,10,1,1144
320,1858,12,1,1144
320,1050,14,1,435
321,2414,1,1,1170
321,2349,3,1,1016
321,1639,6,1,1351
321,2009,8,1,1351
321,1843,10,1,1222
323,2809,1,1,1425
323,2362,3,1,990
323,1393,6,1,1384
323,2060,8,1,1654
323,1979,10,1,1422
323,1182,12,1,989
323,853,14,1,190
324,2799,1,1,1156
324,2248,2,1,1446
324,2578,4,1,1446
324,2278,6,1,1248
324,483,8,1,21
324,328,13,1,328
325,2746,1,1,1254
325,2525,3,1,933
325,2790,6,1,1877
325,1733,8,1,1226
325,441,13,1,437
326,2374,1,1,729
326,2573,3,1,599
326,3353,8,1,1637
326,3175,10,1,1637
326,2735,12,1,1258
326,634,17,1,619
327,2380,1,1,439
327,3753,10,1,2070
327,3377,12,1,2058
327,2239,14,1,1082
327,367,16,1,24
327,1171,17,1,1083
328,1475,1,1,588
328,2781,3,1,708
328,2493,5,1,388
328,3856,10,1,1973
328,3806,12,1,1908
328,840,14,1,22
328,1723,15,1,1217
328,2856,16,1,2092
329,1982,0,1,93
329,3768,6,1,1971
329,2479,8,1,688
329,138,10,1,65
329,1581,11,1,1487
329,2900,12,1,2212
330,3236,0,1,639
330,783,1,1,751
330,3891,9,1,1463
330,2011,10,1,177
330,1729,16,1,1686
330,204,18,1,195
331,2170,6,3,161
331,1375,8,3,116
331,3776,10,1,1624
331,2225,12,1,128
331,2155,18,1,2062
331,3198,19,1,2184
332,1515,1,1,1023
332,2424,14,3,119
332,2012,16,3,119
332,3797,22,1,2166
332,4479,23,1,2166
332,359,24,1,227
333,2994,6,3,292
333,2738,8,3,292
333,4653,20,1,2240
333,4829,21,1,2240
333,1463,22,1,959
333,3601,23,1,2240
334,5366,0,1,214
334,2630,1,1,1274
334,2605,4,3,83
334,2812,6,3,83
334,2398,18,3,59
334,4505,20,1,2022
334,4914,21,1,2022
334,4027,22,1,1145
334,3227,23,1,2022
334,1135,24,1,757
335,6354,0,1,462
335,3528,1,1,1896
335,2653,6,3,288
335,7377,18,1,2524
335,5155,19,1,2526
335,1545,20,1,1113
336,6383,0,1,390
336,4865,1,1,1519
336,1864,4,3,276
336,2021,6,3,276
336,7809,22,1,1510
336,5382,23,1,1519
336,7029,24,1,1519
336,2993,25,1,1451
337,8444,0,1,1647
337,3445,1,1,1897
337,1804,4,3,368
337,2388,6,3,368
337,1702,14,3,368
337,3147,16,1,1808
337,4498,17,1,1871
337,2022,18,1,1797
339,1567,4,2,404
339,3212,12,2,27
339,1283,16,2,404
340,1368,12,2,294
342,2171,10,2,145
342,1940,14,2,397
342,2085,16,2,397
342,1704,18,2,397
343,2460,10,2,596
343,1621,12,2,596
344,3226,4,2,2
344,3429,6,2,273
344,2010,10,2,428
344,1620,12,2,428
344,1579,14,2,428
345,1461,16,2,691
345,1398,18,2,691
346,1926,10,2,586
347,2570,6,2,754
348,4588,12,2,41
350,5939,9,1,49
351,4790,8,1,983
351,2659,10,1,50
351,7522,13,1,169
351,9332,14,1,1380
352,3336,8,1,190
352,7162,9,1,182
352,8052,11,1,33
352,10685,12,1,1177
352,11222,13,1,1502
353,3865,9,1,1124
353,3765,10,1,1438
